31, 12, 2020, 4, 5, 7, 15, 24, 38, 41, 02876717
26, 12, 2020, 16, 20, 23, 31, 38, 43, 27, 54376608
24, 12, 2020, 4, 6, 11, 32, 36, 43, 1, 48658600
19, 12, 2020, 4, 6, 9, 11, 19, 23, 10, 47039088
17, 12, 2020, 3, 11, 24, 38, 40, 43, 8, 68188800
12, 12, 2020, 11, 16, 26, 27, 40, 44, 18, 0875361
10, 12, 2020, 9, 12, 13, 18, 22, 36, 2, 78284220
5, 12, 2020, 3, 14, 28, 31, 40, 49, 20, 68155390
3, 12, 2020, 2, 14, 19, 30, 32, 49, 16, 97238443
28, 11, 2020, 2, 4, 13, 21, 25, 28, 32, 97671945
26, 11, 2020, 17, 22, 26, 29, 31, 44, 20, 92287293
21, 11, 2020, 8, 15, 17, 32, 36, 45, 25, 27519816
19, 11, 2020, 3, 6, 12, 30, 44, 46, 39, 04553776
14, 11, 2020, 5, 9, 16, 33, 36, 43, 41, 0621491
12, 11, 2020, 3, 21, 27, 36, 37, 46, 26, 7954046
7, 11, 2020, 2, 6, 9, 20, 22, 48, 16, 81247927
5, 11, 2020, 1, 4, 10, 22, 31, 41, 29, 05626876
31, 10, 2020, 2, 13, 21, 32, 41, 43, 40, 99439235
29, 10, 2020, 1, 22, 27, 34, 47, 49, 11, 63399180
24, 10, 2020, 9, 17, 24, 41, 42, 47, 39, 17970561
22, 10, 2020, 13, 17, 31, 36, 39, 43, 19, 65593195
17, 10, 2020, 1, 7, 39, 40, 41, 46, 33, 33016350
15, 10, 2020, 1, 10, 13, 23, 42, 48, 40, 27009115
10, 10, 2020, 1, 4, 16, 27, 36, 44, 40, 48315266
8, 10, 2020, 1, 6, 9, 11, 21, 39, 19, 12712677
3, 10, 2020, 5, 12, 13, 27, 42, 48, 14, 55097034
1, 10, 2020, 4, 6, 10, 25, 29, 41, 19, 83634529
26, 9, 2020, 7, 10, 14, 15, 26, 46, 20, 03844410
24, 9, 2020, 3, 10, 13, 15, 31, 48, 43, 63402449
19, 9, 2020, 7, 17, 19, 35, 42, 44, 6, 53194731
17, 9, 2020, 8, 18, 19, 20, 36, 40, 37, 96316945
12, 9, 2020, 5, 18, 25, 28, 35, 46, 2, 48403588
10, 9, 2020, 23, 29, 30, 36, 37, 43, 33, 79766090
5, 9, 2020, 7, 12, 14, 21, 34, 38, 24, 25865390
3, 9, 2020, 10, 11, 13, 26, 44, 45, 37, 52540174
29, 8, 2020, 1, 6, 11, 20, 24, 35, 2, 21971223
27, 8, 2020, 9, 16, 35, 42, 47, 49, 27, 84651140
22, 8, 2020, 10, 12, 14, 31, 33, 40, 8, 35222218
20, 8, 2020, 4, 7, 14, 22, 45, 47, 13, 02449195
15, 8, 2020, 5, 10, 27, 34, 36, 38, 35, 56375234
13, 8, 2020, 1, 4, 6, 17, 23, 26, 3, 048124
8, 8, 2020, 3, 9, 12, 14, 15, 46, 38, 56549224
6, 8, 2020, 18, 23, 33, 35, 36, 41, 49, 21053010
1, 8, 2020, 1, 13, 24, 35, 44, 48, 38, 31718268
30, 7, 2020, 3, 13, 33, 34, 45, 47, 43, 0899736
25, 7, 2020, 3, 16, 33, 37, 43, 45, 42, 19359173
23, 7, 2020, 7, 13, 34, 36, 43, 45, 6, 48436909
18, 7, 2020, 4, 13, 38, 39, 40, 42, 41, 98071007
16, 7, 2020, 13, 15, 26, 42, 45, 47, 7, 52333091
11, 7, 2020, 6, 7, 14, 18, 25, 34, 44, 98852535
9, 7, 2020, 4, 11, 22, 24, 27, 36, 41, 56926745
4, 7, 2020, 4, 7, 12, 15, 36, 41, 33, 19010183
2, 7, 2020, 9, 13, 14, 32, 34, 49, 23, 05003634
27, 6, 2020, 18, 28, 33, 38, 46, 49, 44, 17852258
25, 6, 2020, 27, 30, 32, 35, 42, 47, 7, 08461346
20, 6, 2020, 8, 9, 24, 28, 42, 47, 38, 17590726
18, 6, 2020, 9, 15, 17, 18, 37, 46, 5, 82663255
13, 6, 2020, 13, 14, 16, 19, 31, 38, 15, 98927624
11, 6, 2020, 1, 3, 28, 30, 38, 40, 37, 11831913
6, 6, 2020, 3, 7, 9, 28, 30, 48, 16, 47700485
4, 6, 2020, 9, 12, 16, 21, 22, 23, 34, 84738730
30, 5, 2020, 2, 4, 15, 17, 36, 40, 34, 52152178
28, 5, 2020, 18, 24, 28, 31, 42, 49, 8, 18485681
23, 5, 2020, 1, 8, 9, 14, 21, 23, 46, 43943137
21, 5, 2020, 2, 5, 9, 21, 34, 49, 22, 27056324
14, 3, 2020, 9, 20, 31, 34, 37, 45, 44, 76381073
12, 3, 2020, 13, 15, 16, 27, 38, 49, 7, 08205072
7, 3, 2020, 3, 5, 16, 22, 29, 33, 1, 47079157
5, 3, 2020, 5, 15, 19, 27, 46, 49, 39, 3151181
29, 2, 2020, 3, 17, 28, 36, 41, 47, 49, 45268914
27, 2, 2020, 16, 18, 24, 25, 34, 42, 11, 72173453
22, 2, 2020, 7, 12, 25, 31, 37, 44, 39, 4662675
20, 2, 2020, 3, 15, 18, 23, 31, 39, 26, 5576516
15, 2, 2020, 3, 7, 9, 30, 44, 45, 31, 96288396
13, 2, 2020, 4, 12, 20, 36, 40, 45, 18, 03122084
8, 2, 2020, 4, 20, 25, 28, 46, 49, 16, 25745185
6, 2, 2020, 14, 16, 28, 33, 45, 47, 18, 31471400
1, 2, 2020, 13, 15, 36, 39, 40, 41, 33, 18305439
30, 1, 2020, 19, 25, 28, 29, 34, 42, 33, 99596183
25, 1, 2020, 3, 20, 27, 28, 44, 46, 14, 71807976
23, 1, 2020, 2, 17, 18, 19, 38, 40, 9, 17255927
18, 1, 2020, 7, 12, 17, 23, 33, 37, 44, 64987695
16, 1, 2020, 1, 12, 17, 18, 30, 46, 11, 27645589
11, 1, 2020, 13, 14, 15, 23, 24, 41, 39, 76400630
9, 1, 2020, 3, 19, 34, 36, 44, 48, 4, 31901947
4, 1, 2020, 1, 2, 22, 27, 30, 44, 36, 52157304
2, 1, 2020, 11, 25, 32, 40, 44, 46, 12, 24581061